,Actual,Predicted
0,-0.3854864239692688,-0.3991263508796692
1,-0.3598513901233673,-0.393412709236145
2,-0.43508291244506836,-0.3818703591823578
3,-0.44764280319213867,-0.3690970242023468
4,-0.3971812129020691,-0.39275574684143066
5,-0.4430580139160156,-0.4016781151294708
6,-0.39099717140197754,-0.3875446319580078
7,-0.3945499360561371,-0.41702237725257874
8,-0.4005919396877289,-0.3823085129261017
9,-0.4176144301891327,-0.3905642032623291
10,-0.4313560724258423,-0.3975137174129486
11,-0.4056955575942993,-0.39910411834716797
12,-0.3710782825946808,-0.40036725997924805
13,-0.3878571689128876,-0.3958995044231415
14,-0.40656140446662903,-0.3957417607307434
15,-0.3989810347557068,-0.37990087270736694
16,-0.31510406732559204,-0.38471758365631104
17,-0.39533206820487976,-0.38936883211135864
18,-0.4185243844985962,-0.3873826861381531
19,-0.41378381848335266,-0.40452805161476135
20,-0.3598513901233673,-0.4070976972579956
21,-0.43508291244506836,-0.4009937047958374
22,-0.44764280319213867,-0.3949648141860962
23,-0.3971812129020691,-0.4068397283554077
24,-0.4430580139160156,-0.41033703088760376
25,-0.39099717140197754,-0.4040541648864746
26,-0.3945499360561371,-0.4181053042411804
27,-0.4005919396877289,-0.40166598558425903
28,-0.4176144301891327,-0.40570247173309326
29,-0.4313560724258423,-0.408568799495697
30,-0.4056955575942993,-0.4094089865684509
31,-0.3710782825946808,-0.40987908840179443
32,-0.3878571689128876,-0.40808069705963135
33,-0.40656140446662903,-0.40787041187286377
34,-0.3989810347557068,-0.40074312686920166
35,-0.31510406732559204,-0.402152419090271
36,-0.39533206820487976,-0.40469443798065186
37,-0.4185243844985962,-0.4041786789894104
38,-0.41378381848335266,-0.41165030002593994
39,-0.400922954082489,-0.4095597267150879
40,-0.43508291244506836,-0.39431753754615784
41,-0.44764280319213867,-0.38580790162086487
42,-0.3971812129020691,-0.4036971628665924
43,-0.4430580139160156,-0.4052511155605316
44,-0.39099717140197754,-0.40128979086875916
45,-0.3945499360561371,-0.4223293364048004
46,-0.4005919396877289,-0.3946399390697479
47,-0.4176144301891327,-0.4018348157405853
48,-0.4313560724258423,-0.4059261083602905
49,-0.4056955575942993,-0.4051130712032318
50,-0.3710782825946808,-0.4064984619617462
51,-0.3878571689128876,-0.4034253656864166
52,-0.40656140446662903,-0.40542593598365784
53,-0.3989810347557068,-0.3973535895347595
54,-0.31510406732559204,-0.3938244581222534
55,-0.39533206820487976,-0.39993587136268616
56,-0.4185243844985962,-0.4008398950099945
57,-0.41378381848335266,-0.40871021151542664
58,-0.400922954082489,-0.4010924994945526
59,-0.42342567443847656,-0.4116162359714508
60,-0.44764280319213867,-0.38482484221458435
61,-0.3971812129020691,-0.4037754237651825
62,-0.4430580139160156,-0.4068186283111572
63,-0.39099717140197754,-0.40003564953804016
64,-0.3945499360561371,-0.4231414496898651
65,-0.4005919396877289,-0.3943558633327484
66,-0.4176144301891327,-0.40185269713401794
67,-0.4313560724258423,-0.40594515204429626
68,-0.4056955575942993,-0.4059458374977112
69,-0.3710782825946808,-0.40715476870536804
70,-0.3878571689128876,-0.40431737899780273
71,-0.40656140446662903,-0.4052557051181793
72,-0.3989810347557068,-0.3955548107624054
73,-0.31510406732559204,-0.3946395814418793
74,-0.39533206820487976,-0.39972350001335144
75,-0.4185243844985962,-0.4001421332359314
76,-0.41378381848335266,-0.40973690152168274
77,-0.400922954082489,-0.40334704518318176
78,-0.42342567443847656,-0.41231730580329895
79,-0.3887428343296051,-0.41236525774002075
80,-0.3971812129020691,-0.3996061086654663
81,-0.4430580139160156,-0.4038234353065491
82,-0.39099717140197754,-0.3975122272968292
83,-0.3945499360561371,-0.421205997467041
84,-0.4005919396877289,-0.39174360036849976
85,-0.4176144301891327,-0.39690279960632324
86,-0.4313560724258423,-0.403013676404953
87,-0.4056955575942993,-0.404280424118042
88,-0.3710782825946808,-0.4064943790435791
89,-0.3878571689128876,-0.40152475237846375
90,-0.40656140446662903,-0.4024934768676758
91,-0.3989810347557068,-0.3909960389137268
92,-0.31510406732559204,-0.39311420917510986
93,-0.39533206820487976,-0.3970884084701538
94,-0.4185243844985962,-0.39515870809555054
95,-0.41378381848335266,-0.4080793261528015
96,-0.400922954082489,-0.4034941792488098
97,-0.42342567443847656,-0.4085283577442169
98,-0.3887428343296051,-0.409126877784729
99,-0.421010285615921,-0.39741435647010803
100,-0.4430580139160156,-0.40626785159111023
101,-0.39099717140197754,-0.4002091884613037
102,-0.3945499360561371,-0.4134408235549927
103,-0.4005919396877289,-0.3975875973701477
104,-0.4176144301891327,-0.40288498997688293
105,-0.4313560724258423,-0.40466880798339844
106,-0.4056955575942993,-0.4046870768070221
107,-0.3710782825946808,-0.4047391414642334
108,-0.3878571689128876,-0.4041285514831543
109,-0.40656140446662903,-0.4039416015148163
110,-0.3989810347557068,-0.3979197144508362
111,-0.31510406732559204,-0.3976515531539917
112,-0.39533206820487976,-0.4007532596588135
113,-0.4185243844985962,-0.40138745307922363
114,-0.41378381848335266,-0.4069676399230957
115,-0.400922954082489,-0.40271228551864624
116,-0.42342567443847656,-0.40873828530311584
117,-0.3887428343296051,-0.4082961678504944
118,-0.421010285615921,-0.40306591987609863
119,-0.4235420823097229,-0.40591272711753845
120,-0.39099717140197754,-0.40457454323768616
121,-0.3945499360561371,-0.4239147901535034
122,-0.4005919396877289,-0.40089115500450134
123,-0.4176144301891327,-0.4084450900554657
124,-0.4313560724258423,-0.4116694927215576
125,-0.4056955575942993,-0.41174325346946716
126,-0.3710782825946808,-0.4118046164512634
127,-0.3878571689128876,-0.4105294346809387
128,-0.40656140446662903,-0.41035327315330505
129,-0.3989810347557068,-0.4008428156375885
130,-0.31510406732559204,-0.4015856087207794
131,-0.39533206820487976,-0.40583136677742004
132,-0.4185243844985962,-0.4062719941139221
133,-0.41378381848335266,-0.41535043716430664
134,-0.400922954082489,-0.4090003967285156
135,-0.42342567443847656,-0.41691964864730835
136,-0.3887428343296051,-0.41635820269584656
137,-0.421010285615921,-0.4085448086261749
138,-0.4235420823097229,-0.413287490606308
139,-0.40411436557769775,-0.4123336970806122
140,-0.3945499360561371,-0.4236367344856262
141,-0.4005919396877289,-0.4002307057380676
142,-0.4176144301891327,-0.4063612222671509
143,-0.4313560724258423,-0.41019320487976074
144,-0.4056955575942993,-0.40983492136001587
145,-0.3710782825946808,-0.41036275029182434
146,-0.3878571689128876,-0.4080197215080261
147,-0.40656140446662903,-0.40923866629600525
148,-0.3989810347557068,-0.4012053608894348
149,-0.31510406732559204,-0.39896059036254883
150,-0.39533206820487976,-0.40454867482185364
151,-0.4185243844985962,-0.4050426185131073
152,-0.41378381848335266,-0.41306260228157043
153,-0.400922954082489,-0.4078345000743866
154,-0.42342567443847656,-0.4151156544685364
155,-0.3887428343296051,-0.4145524203777313
156,-0.421010285615921,-0.4067896604537964
157,-0.4235420823097229,-0.4110506772994995
158,-0.40411436557769775,-0.4103163480758667
159,-0.4138929545879364,-0.4085412323474884
160,-0.4005919396877289,-0.4058242738246918
161,-0.4176144301891327,-0.40646883845329285
162,-0.4313560724258423,-0.4110712707042694
163,-0.4056955575942993,-0.40982720255851746
164,-0.3710782825946808,-0.4097347855567932
165,-0.3878571689128876,-0.40701285004615784
166,-0.40656140446662903,-0.41014063358306885
167,-0.3989810347557068,-0.4057293236255646
168,-0.31510406732559204,-0.39896419644355774
169,-0.39533206820487976,-0.40683385729789734
170,-0.4185243844985962,-0.40670058131217957
171,-0.41378381848335266,-0.41108933091163635
172,-0.400922954082489,-0.40903642773628235
173,-0.42342567443847656,-0.4127681255340576
174,-0.3887428343296051,-0.41106995940208435
175,-0.421010285615921,-0.407447874546051
176,-0.4235420823097229,-0.40904179215431213
177,-0.40411436557769775,-0.4082706868648529
178,-0.4138929545879364,-0.40855535864830017
179,-0.40492644906044006,-0.40632662177085876
180,-0.4176144301891327,-0.4108332395553589
181,-0.4313560724258423,-0.41492804884910583
182,-0.4056955575942993,-0.414189875125885
183,-0.3710782825946808,-0.415359765291214
184,-0.3878571689128876,-0.4125208854675293
185,-0.40656140446662903,-0.4143145680427551
186,-0.3989810347557068,-0.4056265950202942
187,-0.31510406732559204,-0.40201640129089355
188,-0.39533206820487976,-0.40852195024490356
189,-0.4185243844985962,-0.40956830978393555
190,-0.41378381848335266,-0.4178586006164551
191,-0.400922954082489,-0.4105242192745209
192,-0.42342567443847656,-0.4213360548019409
193,-0.3887428343296051,-0.4210663139820099
194,-0.421010285615921,-0.4113478660583496
195,-0.4235420823097229,-0.416500449180603
196,-0.40411436557769775,-0.4158502221107483
197,-0.4138929545879364,-0.4124622344970703
198,-0.40492644906044006,-0.40816283226013184
199,-0.41227999329566956,-0.41989821195602417
200,-0.4313560724258423,-0.4118989109992981
201,-0.4056955575942993,-0.41159960627555847
202,-0.3710782825946808,-0.41401591897010803
203,-0.3878571689128876,-0.4092220962047577
204,-0.40656140446662903,-0.41167065501213074
205,-0.3989810347557068,-0.40245869755744934
206,-0.31510406732559204,-0.4008687436580658
207,-0.39533206820487976,-0.4059315025806427
208,-0.4185243844985962,-0.40565231442451477
209,-0.41378381848335266,-0.41567689180374146
210,-0.400922954082489,-0.40852415561676025
211,-0.42342567443847656,-0.4173579514026642
212,-0.3887428343296051,-0.4183247685432434
213,-0.421010285615921,-0.4066721498966217
214,-0.4235420823097229,-0.41312962770462036
215,-0.40411436557769775,-0.4129301607608795
216,-0.4138929545879364,-0.40964803099632263
217,-0.40492644906044006,-0.4048267602920532
218,-0.41227999329566956,-0.41811540722846985
219,-0.42294731736183167,-0.401583194732666
220,-0.4056955575942993,-0.4083935618400574
221,-0.3710782825946808,-0.40899497270584106
222,-0.3878571689128876,-0.4067297577857971
223,-0.40656140446662903,-0.40859824419021606
224,-0.3989810347557068,-0.40348702669143677
225,-0.31510406732559204,-0.39987003803253174
226,-0.39533206820487976,-0.4050939679145813
227,-0.4185243844985962,-0.4053041934967041
228,-0.41378381848335266,-0.41037216782569885
229,-0.400922954082489,-0.40626075863838196
230,-0.42342567443847656,-0.41209930181503296
231,-0.3887428343296051,-0.4115380048751831
232,-0.421010285615921,-0.4061976969242096
233,-0.4235420823097229,-0.4089099168777466
234,-0.40411436557769775,-0.4084540605545044
235,-0.4138929545879364,-0.4072168469429016
236,-0.40492644906044006,-0.4046301245689392
237,-0.41227999329566956,-0.4121212363243103
238,-0.42294731736183167,-0.40198200941085815
239,-0.4296936094760895,-0.4054260849952698
240,-0.3710782825946808,-0.4061899781227112
241,-0.3878571689128876,-0.4009881913661957
242,-0.40656140446662903,-0.4033950865268707
243,-0.3989810347557068,-0.39241859316825867
244,-0.31510406732559204,-0.39130139350891113
245,-0.39533206820487976,-0.3969176411628723
246,-0.4185243844985962,-0.3965585231781006
247,-0.41378381848335266,-0.4084434509277344
248,-0.400922954082489,-0.400183767080307
249,-0.42342567443847656,-0.41023769974708557
250,-0.3887428343296051,-0.411111056804657
251,-0.421010285615921,-0.39805057644844055
252,-0.4235420823097229,-0.4052827060222626
253,-0.40411436557769775,-0.4049313962459564
254,-0.4138929545879364,-0.40153032541275024
255,-0.40492644906044006,-0.3959847688674927
256,-0.41227999329566956,-0.4109613001346588
257,-0.42294731736183167,-0.39230215549468994
258,-0.4296936094760895,-0.3946445882320404
259,-0.41575539112091064,-0.40484610199928284
260,-0.3878571689128876,-0.3937411904335022
261,-0.40656140446662903,-0.3959922194480896
262,-0.3989810347557068,-0.38863444328308105
263,-0.31510406732559204,-0.3845762610435486
264,-0.39533206820487976,-0.3918027877807617
265,-0.4185243844985962,-0.3914813995361328
266,-0.41378381848335266,-0.3989962935447693
267,-0.400922954082489,-0.39530643820762634
268,-0.42342567443847656,-0.4004107415676117
269,-0.3887428343296051,-0.3991358280181885
270,-0.421010285615921,-0.3929241895675659
271,-0.4235420823097229,-0.39614400267601013
272,-0.40411436557769775,-0.39527758955955505
273,-0.4138929545879364,-0.39515024423599243
274,-0.40492644906044006,-0.3919578194618225
275,-0.41227999329566956,-0.40107035636901855
276,-0.42294731736183167,-0.38796672224998474
