,Actual,Predicted
0,-0.3854864239692688,-0.39888834953308105
1,-0.3598513901233673,-0.39608925580978394
2,-0.43508291244506836,-0.3896898627281189
3,-0.44764280319213867,-0.38252773880958557
4,-0.3971812129020691,-0.3961337208747864
5,-0.4430580139160156,-0.39788955450057983
6,-0.39099717140197754,-0.39446210861206055
7,-0.3945499360561371,-0.40676572918891907
8,-0.4005919396877289,-0.39190685749053955
9,-0.4176144301891327,-0.394978404045105
10,-0.4313560724258423,-0.3978443443775177
11,-0.4056955575942993,-0.39792293310165405
12,-0.3710782825946808,-0.39876896142959595
13,-0.3878571689128876,-0.3965849280357361
14,-0.40656140446662903,-0.39697420597076416
15,-0.3989810347557068,-0.3914048671722412
16,-0.31510406732559204,-0.39079177379608154
17,-0.39533206820487976,-0.39415183663368225
18,-0.4185243844985962,-0.3934655785560608
19,-0.41378381848335266,-0.3991624712944031
20,-0.3598513901233673,-0.412144273519516
21,-0.43508291244506836,-0.4051085412502289
22,-0.44764280319213867,-0.3948541581630707
23,-0.3971812129020691,-0.41387221217155457
24,-0.4430580139160156,-0.41891220211982727
25,-0.39099717140197754,-0.41111433506011963
26,-0.3945499360561371,-0.4328075349330902
27,-0.4005919396877289,-0.40492019057273865
28,-0.4176144301891327,-0.4123653769493103
29,-0.4313560724258423,-0.4181329905986786
30,-0.4056955575942993,-0.41726234555244446
31,-0.3710782825946808,-0.417440801858902
32,-0.3878571689128876,-0.4141198694705963
33,-0.40656140446662903,-0.41653117537498474
34,-0.3989810347557068,-0.40612682700157166
35,-0.31510406732559204,-0.40139177441596985
36,-0.39533206820487976,-0.4104469418525696
37,-0.4185243844985962,-0.4110371768474579
38,-0.41378381848335266,-0.42129480838775635
39,-0.400922954082489,-0.4127238690853119
40,-0.43508291244506836,-0.3948310315608978
41,-0.44764280319213867,-0.3855460584163666
42,-0.3971812129020691,-0.40184783935546875
43,-0.4430580139160156,-0.40512993931770325
44,-0.39099717140197754,-0.39932528138160706
45,-0.3945499360561371,-0.41209137439727783
46,-0.4005919396877289,-0.3959536850452423
47,-0.4176144301891327,-0.4007953107357025
48,-0.4313560724258423,-0.40443095564842224
49,-0.4056955575942993,-0.4039894640445709
50,-0.3710782825946808,-0.4059886038303375
51,-0.3878571689128876,-0.4023071229457855
52,-0.40656140446662903,-0.4021782875061035
53,-0.3989810347557068,-0.39608168601989746
54,-0.31510406732559204,-0.3972846567630768
55,-0.39533206820487976,-0.39972493052482605
56,-0.4185243844985962,-0.3979092538356781
57,-0.41378381848335266,-0.4051327407360077
58,-0.400922954082489,-0.4066877067089081
59,-0.42342567443847656,-0.4074946343898773
60,-0.44764280319213867,-0.3901515007019043
61,-0.3971812129020691,-0.40349429845809937
62,-0.4430580139160156,-0.4056914448738098
63,-0.39099717140197754,-0.40148305892944336
64,-0.3945499360561371,-0.41642194986343384
65,-0.4005919396877289,-0.3974510431289673
66,-0.4176144301891327,-0.4019918441772461
67,-0.4313560724258423,-0.40518468618392944
68,-0.4056955575942993,-0.4054672122001648
69,-0.3710782825946808,-0.4065365791320801
70,-0.3878571689128876,-0.40406107902526855
71,-0.40656140446662903,-0.4048556685447693
72,-0.3989810347557068,-0.3980099558830261
73,-0.31510406732559204,-0.39803069829940796
74,-0.39533206820487976,-0.4011881351470947
75,-0.4185243844985962,-0.40101921558380127
76,-0.41378381848335266,-0.4079437255859375
77,-0.400922954082489,-0.40375643968582153
78,-0.42342567443847656,-0.4091367721557617
79,-0.3887428343296051,-0.4094530940055847
80,-0.3971812129020691,-0.3957673907279968
81,-0.4430580139160156,-0.39857035875320435
82,-0.39099717140197754,-0.39392080903053284
83,-0.3945499360561371,-0.4088399410247803
84,-0.4005919396877289,-0.389313280582428
85,-0.4176144301891327,-0.39413386583328247
86,-0.4313560724258423,-0.3992501199245453
87,-0.4056955575942993,-0.39840465784072876
88,-0.3710782825946808,-0.40142714977264404
89,-0.3878571689128876,-0.39594390988349915
90,-0.40656140446662903,-0.3964875042438507
91,-0.3989810347557068,-0.3896549344062805
92,-0.31510406732559204,-0.3898119330406189
93,-0.39533206820487976,-0.3935104012489319
94,-0.4185243844985962,-0.3907991647720337
95,-0.41378381848335266,-0.3991774618625641
96,-0.400922954082489,-0.402617871761322
97,-0.42342567443847656,-0.4026242196559906
98,-0.3887428343296051,-0.40379223227500916
99,-0.421010285615921,-0.395310640335083
100,-0.4430580139160156,-0.39183753728866577
101,-0.39099717140197754,-0.3896716237068176
102,-0.3945499360561371,-0.40043216943740845
103,-0.4005919396877289,-0.386140912771225
104,-0.4176144301891327,-0.3893054127693176
105,-0.4313560724258423,-0.39234620332717896
106,-0.4056955575942993,-0.3926060199737549
107,-0.3710782825946808,-0.3958720564842224
108,-0.3878571689128876,-0.3915146291255951
109,-0.40656140446662903,-0.39123842120170593
110,-0.3989810347557068,-0.3865206837654114
111,-0.31510406732559204,-0.38993585109710693
112,-0.39533206820487976,-0.3894781470298767
113,-0.4185243844985962,-0.3870484530925751
114,-0.41378381848335266,-0.3932751417160034
115,-0.400922954082489,-0.39623570442199707
116,-0.42342567443847656,-0.39497360587120056
117,-0.3887428343296051,-0.396981418132782
118,-0.421010285615921,-0.3899126946926117
119,-0.4235420823097229,-0.39279577136039734
120,-0.39099717140197754,-0.4035086929798126
121,-0.3945499360561371,-0.4175027310848236
122,-0.4005919396877289,-0.40034323930740356
123,-0.4176144301891327,-0.40601789951324463
124,-0.4313560724258423,-0.40956008434295654
125,-0.4056955575942993,-0.40934693813323975
126,-0.3710782825946808,-0.41070276498794556
127,-0.3878571689128876,-0.40773099660873413
128,-0.40656140446662903,-0.40725386142730713
129,-0.3989810347557068,-0.40005847811698914
130,-0.31510406732559204,-0.40122756361961365
131,-0.39533206820487976,-0.40435200929641724
132,-0.4185243844985962,-0.4028473198413849
133,-0.41378381848335266,-0.4108489155769348
134,-0.400922954082489,-0.41092395782470703
135,-0.42342567443847656,-0.4133126735687256
136,-0.3887428343296051,-0.4137576222419739
137,-0.421010285615921,-0.40662723779678345
138,-0.4235420823097229,-0.41034379601478577
139,-0.40411436557769775,-0.40812182426452637
140,-0.3945499360561371,-0.40821319818496704
141,-0.4005919396877289,-0.3914659321308136
142,-0.4176144301891327,-0.3961508870124817
